source,target
16076032,1.61616E+18
16076032,2922780334
16076032,1.51913E+18
16076032,1.52641E+18
16076032,1.63748E+18
16076032,250912948
16076032,1.59419E+18
16076032,3082801597
16076032,1.63961E+18
16076032,24998862
16076032,1.52013E+18
16076032,1.44886E+18
16076032,1.14421E+18
16076032,7.05813E+17
16076032,1.3324E+18
16076032,3243338591
16076032,498432647
16076032,1.53452E+18
16076032,224701120
16076032,1.61804E+18
16076032,1519562328
16076032,1.63926E+18
16076032,186121782
16076032,1.52369E+18
16076032,1.2668E+18
16076032,9.5272E+17
16076032,1.59836E+18
16076032,407465485
16076032,1.60813E+18
16076032,1.52046E+18
16076032,9.42497E+17
16076032,1.58603E+18
16076032,1.59685E+18
16076032,1.4707E+18
16076032,1.63708E+18
16076032,1.63959E+18
16076032,18279262
16076032,1.6396E+18
16076032,1.62495E+18
16076032,1.39796E+18
16076032,1.52585E+18
16076032,2840649923
16076032,7.88885E+17
16076032,1.58999E+18
16076032,1.60194E+18
16076032,1.63879E+18
16076032,97292578
16076032,1.42702E+18
16076032,1.63956E+18
16076032,2444563356
16076032,1.63932E+18
16076032,1.27266E+18
16076032,1.48124E+18
16076032,1.58678E+18
16076032,1.63958E+18
16076032,9.51523E+17
16076032,7.48703E+17
16076032,1.63616E+18
16076032,28161086
16076032,1.62419E+18
16076032,9.65208E+17
16076032,1958036516
16076032,3992733587
16076032,24580014
16076032,1.63956E+18
16076032,1242519758
16076032,1.63957E+18
16076032,7.98337E+17
16076032,1.55629E+18
16076032,1.45379E+18
16076032,1.26676E+18
16076032,1.5922E+18
16076032,1.63956E+18
16076032,2647017175
16076032,367813132
16076032,829587343
16076032,1.63956E+18
16076032,945661778
16076032,1.63724E+18
16076032,38712117
16076032,1.63955E+18
16076032,1.61949E+18
16076032,360531571
16076032,3052713678
16076032,1.56044E+18
16076032,1.63954E+18
16076032,1.22906E+18
16076032,1.63816E+18
16076032,1.56611E+18
16076032,1.63934E+18
16076032,172712218
16076032,1.63946E+18
16076032,1.63875E+18
16076032,1.53072E+18
16076032,123673230
16076032,1.63953E+18
16076032,1.63897E+18
16076032,1.58604E+18
16076032,281134771
16076032,8.10561E+17
16076032,1.58028E+18
16076032,1.59617E+18
16076032,1.63952E+18
16076032,55707814
16076032,1.4719E+18
16076032,1.63945E+18
16076032,1.62774E+18
